Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.103,127.337,0.550,1031,2.065
NewLearningBrain,0.097,128.131,0.612,1087,4.760
NewLearningBrain,0.103,128.947,0.575,1037,1.585
NewLearningBrain,0.105,129.794,0.649,1044,1.998
NewLearningBrain,0.095,130.440,0.478,1046,1.660
NewLearningBrain,0.102,131.210,0.583,1005,3.867
NewLearningBrain,0.115,132.067,0.648,1082,2.020
NewLearningBrain,0.115,132.847,0.583,1070,4.517
NewLearningBrain,0.105,133.664,0.629,1021,3.910
NewLearningBrain,0.106,134.492,0.631,1056,1.437
NewLearningBrain,0.140,135.360,0.637,1019,1.310
NewLearningBrain,0.113,136.222,0.594,1071,1.453
NewLearningBrain,0.131,137.146,0.682,1119,2.320
NewLearningBrain,0.111,138.066,0.706,1005,1.187
NewLearningBrain,0.107,138.825,0.570,1049,5.097
NewLearningBrain,0.121,139.687,0.653,1061,4.410
NewLearningBrain,0.115,140.490,0.601,1026,1.530
NewLearningBrain,0.106,141.260,0.574,1022,1.835
NewLearningBrain,0.118,142.111,0.647,1024,2.820
NewLearningBrain,0.145,143.129,0.721,1042,4.857
NewLearningBrain,0.109,143.977,0.647,1061,2.470
NewLearningBrain,0.096,144.692,0.541,1014,2.640
NewLearningBrain,0.095,145.493,0.617,1034,1.860
NewLearningBrain,0.113,146.343,0.645,1050,0.025
NewLearningBrain,0.112,147.042,0.515,1014,3.213
NewLearningBrain,0.111,147.924,0.672,1063,2.110
NewLearningBrain,0.134,148.916,0.752,1043,0.243
NewLearningBrain,0.105,149.617,0.530,1019,1.820
NewLearningBrain,0.111,150.481,0.623,1054,2.018
NewLearningBrain,0.115,151.287,0.601,1018,4.090
NewLearningBrain,0.110,152.160,0.668,1057,1.480
NewLearningBrain,0.107,152.929,0.586,1038,1.432
NewLearningBrain,0.122,153.767,0.632,1040,3.160
NewLearningBrain,0.098,154.497,0.554,1016,0.505
NewLearningBrain,0.100,155.358,0.663,1063,1.646
NewLearningBrain,0.126,156.179,0.612,1019,2.145
NewLearningBrain,0.111,156.933,0.563,1042,1.285
NewLearningBrain,0.108,157.899,0.710,1037,2.185
NewLearningBrain,0.104,158.703,0.606,1063,3.410
NewLearningBrain,0.121,159.566,0.651,1033,1.565
NewLearningBrain,0.097,160.348,0.607,1059,3.272
NewLearningBrain,0.094,161.148,0.620,1035,4.800
NewLearningBrain,0.110,161.978,0.637,1051,1.710
NewLearningBrain,0.161,163.002,0.766,1057,1.405
NewLearningBrain,0.135,164.055,0.803,1032,1.757
NewLearningBrain,0.140,165.126,0.784,1001,1.030
NewLearningBrain,0.107,166.071,0.739,1113,3.360
NewLearningBrain,0.097,166.772,0.529,1015,2.000
NewLearningBrain,0.107,167.521,0.562,1057,2.414
NewLearningBrain,0.128,168.473,0.722,1040,nan
NewLearningBrain,0.107,169.334,0.657,1004,2.322
NewLearningBrain,0.125,170.168,0.621,1073,4.310
NewLearningBrain,0.108,171.088,0.709,1044,1.180
NewLearningBrain,0.098,171.787,0.525,1009,1.940
NewLearningBrain,0.109,172.788,0.736,1056,1.753
NewLearningBrain,0.108,173.601,0.621,1004,2.947
NewLearningBrain,0.109,174.418,0.620,1011,1.130
NewLearningBrain,0.127,175.226,0.594,1012,1.654
NewLearningBrain,0.126,176.130,0.682,1023,2.410
NewLearningBrain,0.114,176.944,0.616,1006,2.165
NewLearningBrain,0.109,177.842,0.693,1045,1.833
NewLearningBrain,0.111,178.727,0.674,1021,1.390
NewLearningBrain,0.117,179.618,0.675,1006,1.840
NewLearningBrain,0.104,180.544,0.683,1030,1.133
NewLearningBrain,0.168,181.502,0.695,1022,1.835
NewLearningBrain,0.107,182.407,0.707,1048,2.047
NewLearningBrain,0.136,183.207,0.582,1045,2.050
NewLearningBrain,0.110,184.081,0.668,1038,1.488
NewLearningBrain,0.103,184.856,0.589,1038,0.945
NewLearningBrain,0.098,185.672,0.617,1061,1.453
NewLearningBrain,0.110,186.467,0.606,1038,1.810
NewLearningBrain,0.099,187.238,0.566,1006,1.922
NewLearningBrain,0.112,188.005,0.577,1063,2.365
NewLearningBrain,0.129,188.902,0.671,1110,1.183
NewLearningBrain,0.136,189.783,0.647,1025,2.500
NewLearningBrain,0.107,190.632,0.656,1015,3.000
NewLearningBrain,0.114,191.481,0.641,1007,2.410
NewLearningBrain,0.096,192.182,0.533,1032,3.510
NewLearningBrain,0.102,192.989,0.606,1058,2.295
NewLearningBrain,0.107,193.813,0.629,1017,2.192
NewLearningBrain,0.097,194.623,0.578,1050,3.550
NewLearningBrain,0.106,195.434,0.619,1040,nan
NewLearningBrain,0.108,196.308,0.680,1031,-0.480
NewLearningBrain,0.121,197.042,0.536,1040,nan
NewLearningBrain,0.110,197.866,0.631,1002,0.660
NewLearningBrain,0.098,198.650,0.602,1026,2.327
NewLearningBrain,0.098,199.439,0.606,1031,4.170
NewLearningBrain,0.105,200.225,0.588,1097,2.392
NewLearningBrain,0.102,200.981,0.569,1009,1.847
NewLearningBrain,0.104,201.773,0.576,1011,2.755
NewLearningBrain,0.118,202.648,0.666,1011,2.177
NewLearningBrain,0.111,203.437,0.589,1002,1.667
NewLearningBrain,0.112,204.238,0.606,1043,2.930
NewLearningBrain,0.097,204.994,0.573,1058,2.457
NewLearningBrain,0.109,205.829,0.630,1047,2.610
NewLearningBrain,0.108,206.558,0.542,1050,2.067
NewLearningBrain,0.110,207.356,0.594,1022,4.140
NewLearningBrain,0.107,208.336,0.714,1008,1.440
NewLearningBrain,0.103,209.079,0.565,1005,2.075
NewLearningBrain,0.120,209.958,0.663,1102,3.290
NewLearningBrain,0.098,210.620,0.492,1025,1.450
NewLearningBrain,0.103,211.462,0.641,1080,1.233
NewLearningBrain,0.120,212.318,0.634,1125,1.700
NewLearningBrain,0.130,213.178,0.636,1042,1.174
NewLearningBrain,0.113,214.030,0.653,1043,3.127
NewLearningBrain,0.106,214.786,0.572,1022,2.474
NewLearningBrain,0.110,215.674,0.650,1056,1.760
NewLearningBrain,0.097,216.336,0.494,1017,1.090
NewLearningBrain,0.095,217.184,0.655,1033,2.655
NewLearningBrain,0.096,217.940,0.572,1037,1.570
NewLearningBrain,0.118,218.853,0.695,1049,1.847
NewLearningBrain,0.116,219.612,0.564,1001,1.730
NewLearningBrain,0.104,220.402,0.600,1058,2.093
NewLearningBrain,0.109,221.225,0.626,1063,2.166
NewLearningBrain,0.098,222.025,0.616,1016,3.037
NewLearningBrain,0.096,222.780,0.528,1016,2.170
NewLearningBrain,0.105,223.620,0.643,1006,1.755
NewLearningBrain,0.117,224.448,0.623,1048,2.266
NewLearningBrain,0.108,225.210,0.585,1057,2.740
NewLearningBrain,0.130,226.071,0.633,1060,1.650
NewLearningBrain,0.110,226.835,0.581,1003,0.580
NewLearningBrain,0.118,227.668,0.631,1040,2.250
NewLearningBrain,0.099,228.490,0.636,1026,1.360
NewLearningBrain,0.123,229.345,0.587,1103,2.677
NewLearningBrain,0.110,230.220,0.676,1045,3.200
NewLearningBrain,0.111,231.089,0.671,1014,2.785
NewLearningBrain,0.106,231.775,0.509,1020,2.700
NewLearningBrain,0.120,232.668,0.685,1005,2.014
NewLearningBrain,0.105,233.508,0.646,1041,1.387
NewLearningBrain,0.095,234.114,0.441,1006,2.490
NewLearningBrain,0.114,235.008,0.679,1060,1.800
NewLearningBrain,0.103,235.812,0.615,1040,1.340
NewLearningBrain,0.111,236.716,0.664,1060,1.700
NewLearningBrain,0.107,237.434,0.547,1007,1.144
NewLearningBrain,0.113,238.234,0.600,1037,4.170
NewLearningBrain,0.096,239.046,0.621,1040,8.750
NewLearningBrain,0.110,239.824,0.588,1004,1.972
NewLearningBrain,0.093,240.557,0.571,1014,3.160
NewLearningBrain,0.113,241.421,0.651,1041,3.555
NewLearningBrain,0.104,242.228,0.613,1030,2.217
NewLearningBrain,0.107,243.086,0.669,1049,2.272
NewLearningBrain,0.150,244.034,0.667,1066,1.210
NewLearningBrain,0.114,244.833,0.598,1012,2.110
NewLearningBrain,0.106,245.795,0.755,1040,2.150
NewLearningBrain,0.104,246.601,0.613,1040,nan
NewLearningBrain,0.144,247.498,0.661,1033,1.020
NewLearningBrain,0.147,248.441,0.700,1123,2.757
NewLearningBrain,0.111,249.347,0.704,1040,nan
NewLearningBrain,0.110,250.158,0.612,1042,3.123
NewLearningBrain,0.134,251.061,0.623,1043,2.688
NewLearningBrain,0.108,252.093,0.815,1064,3.670
NewLearningBrain,0.144,252.989,0.650,1087,1.230
NewLearningBrain,0.103,253.860,0.672,1036,2.240
NewLearningBrain,0.103,254.637,0.591,1018,0.730
NewLearningBrain,0.097,255.411,0.591,1054,2.947
NewLearningBrain,0.147,256.247,0.606,1003,1.832
NewLearningBrain,0.099,257.040,0.608,1044,0.970
NewLearningBrain,0.095,257.800,0.577,1013,1.980
NewLearningBrain,0.103,258.617,0.583,1045,1.250
NewLearningBrain,0.096,259.389,0.584,1019,3.173
NewLearningBrain,0.102,260.185,0.614,1025,2.500
NewLearningBrain,0.106,260.931,0.565,1026,1.770
NewLearningBrain,0.121,261.703,0.562,1024,2.090
NewLearningBrain,0.100,262.444,0.568,1003,2.936
NewLearningBrain,0.101,263.264,0.627,1019,2.690
NewLearningBrain,0.113,264.037,0.580,1025,0.700
NewLearningBrain,0.114,264.892,0.647,1063,2.480
NewLearningBrain,0.102,265.870,0.727,1036,3.503
NewLearningBrain,0.110,266.694,0.624,1026,2.973
NewLearningBrain,0.121,267.700,0.780,1043,0.527
NewLearningBrain,0.096,268.403,0.529,1026,1.460
NewLearningBrain,0.103,269.203,0.607,1053,1.730
NewLearningBrain,0.098,270.048,0.640,1030,2.150
NewLearningBrain,0.095,270.845,0.608,1002,6.285
NewLearningBrain,0.096,271.498,0.486,1001,2.055
NewLearningBrain,0.110,272.336,0.590,1032,5.155
NewLearningBrain,0.094,273.128,0.613,1020,3.900
NewLearningBrain,0.097,273.910,0.590,1064,1.345
NewLearningBrain,0.101,274.698,0.594,1012,1.410
NewLearningBrain,0.096,275.467,0.580,1061,0.520
NewLearningBrain,0.096,276.175,0.533,1028,4.730
NewLearningBrain,0.096,276.987,0.619,1013,1.857
NewLearningBrain,0.130,277.806,0.601,1053,7.580
NewLearningBrain,0.097,278.640,0.645,1044,3.895
NewLearningBrain,0.096,279.385,0.532,1032,2.584
