Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.013,39.389,0.073,65,nan
bar,0.013,39.410,0.007,65,nan
bar,0.010,39.620,0.172,65,nan
bar,0.008,39.635,0.006,65,nan
bar,0.012,39.693,0.039,65,nan
bar,0.019,39.721,0.008,130,nan
bar,0.009,39.796,0.056,65,nan
bar,0.009,39.878,0.062,65,nan
bar,0.010,39.978,0.077,65,nan
bar,0.012,39.999,0.008,65,nan
bar,0.013,40.206,0.166,65,nan
bar,0.013,40.226,0.006,65,nan
bar,0.012,40.283,0.040,65,nan
bar,0.018,40.310,0.008,130,nan
bar,0.012,40.389,0.058,65,nan
bar,0.009,40.472,0.062,65,nan
bar,0.011,40.559,0.065,65,nan
bar,0.010,40.582,0.012,65,nan
bar,0.010,40.793,0.171,65,nan
bar,0.011,40.811,0.008,65,nan
bar,0.011,40.859,0.030,65,nan
bar,0.031,40.907,0.017,130,nan
bar,0.012,41.012,0.083,71,12.149
bar,0.012,41.103,0.068,65,nan
bar,0.012,41.191,0.064,65,nan
bar,0.010,41.208,0.006,65,nan
bar,0.016,41.422,0.167,65,nan
bar,0.011,41.445,0.012,65,nan
bar,0.010,41.497,0.034,96,11.319
bar,0.009,41.514,0.007,65,nan
bar,0.011,41.571,0.040,75,-0.208
bar,0.010,41.601,0.017,65,nan
bar,0.013,41.691,0.069,65,nan
bar,0.013,41.785,0.069,65,nan
bar,0.011,42.010,0.182,65,nan
bar,0.020,42.086,0.049,95,11.320
bar,0.010,42.104,0.007,65,nan
bar,0.016,42.128,0.008,65,nan
bar,0.018,42.217,0.062,127,-1.062
bar,0.012,42.242,0.012,65,nan
bar,0.009,42.328,0.068,65,nan
bar,0.013,42.683,0.300,65,nan
bar,0.013,42.741,0.042,65,nan
bar,0.009,42.770,0.018,65,nan
bar,0.011,42.790,0.007,65,nan
bar,0.010,42.808,0.007,65,nan
bar,0.009,42.837,0.017,65,nan
bar,0.011,42.887,0.034,73,12.147
bar,0.010,42.911,0.010,65,nan
bar,0.010,43.000,0.067,65,nan
bar,0.009,43.315,0.262,84,6.396
bar,0.012,43.355,0.023,65,nan
bar,0.020,43.418,0.040,65,nan
bar,0.015,43.449,0.014,65,nan
bar,0.012,43.483,0.019,65,nan
bar,0.011,43.534,0.037,65,nan
bar,0.011,43.554,0.007,65,nan
bar,0.009,43.647,0.070,65,nan
bar,0.012,43.955,0.257,127,-1.062
bar,0.011,43.995,0.022,65,nan
bar,0.010,44.022,0.015,65,nan
bar,0.013,44.057,0.020,65,nan
bar,0.012,44.100,0.024,65,nan
bar,0.009,44.142,0.029,65,nan
bar,0.015,44.177,0.020,65,nan
bar,0.010,44.290,0.090,65,nan
bar,0.010,44.363,0.056,65,nan
bar,0.012,44.625,0.217,65,nan
bar,0.009,44.670,0.032,65,nan
bar,0.013,44.701,0.016,65,nan
bar,0.013,44.736,0.020,65,nan
bar,0.012,44.780,0.028,65,nan
bar,0.009,44.817,0.024,65,nan
bar,0.014,44.838,0.007,65,nan
bar,0.010,44.941,0.080,74,-0.334
bar,0.013,45.022,0.058,65,nan
bar,0.026,45.305,0.220,129,11.286
bar,0.014,45.338,0.017,65,nan
