Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.107,283.838,0.828,1040,nan
bar,0.112,285.020,0.902,1067,11.323
bar,0.088,286.278,0.990,1051,9.948
bar,0.100,287.551,0.986,1053,7.744
bar,0.110,288.535,0.737,1033,7.192
bar,0.098,289.766,0.946,1066,2.735
bar,0.097,290.939,0.895,1034,-1.064
bar,0.096,292.208,0.998,1058,2.034
bar,0.106,293.226,0.768,1025,3.891
bar,0.112,294.474,0.948,1053,0.707
bar,0.101,295.689,0.933,1048,1.312
bar,0.098,296.777,0.833,1048,1.071
bar,0.092,297.960,0.918,1066,-1.062
bar,0.085,299.052,0.829,1036,-0.036
bar,0.116,300.173,0.832,1058,-1.062
bar,0.090,301.324,0.880,1053,-1.062
bar,0.114,302.352,0.760,1056,-1.062
bar,0.091,303.530,0.903,1059,-1.062
bar,0.091,304.619,0.833,1062,-1.062
bar,0.100,305.838,0.921,1059,-1.062
bar,0.091,307.014,0.895,1062,-1.062
bar,0.093,308.219,0.927,1079,-1.012
bar,0.096,309.425,0.922,1121,-1.067
bar,0.089,310.620,0.930,1081,-0.836
bar,0.099,311.653,0.791,1045,-1.142
bar,0.100,312.849,0.915,1074,-1.062
bar,0.098,314.048,0.931,1074,-1.062
bar,0.102,315.202,0.869,1071,-1.062
bar,0.089,316.408,0.921,1079,0.139
bar,0.101,317.580,0.897,1081,0.825
bar,0.102,318.822,0.949,1086,-1.066
bar,0.091,319.929,0.842,1050,-1.062
bar,0.102,320.960,0.774,1050,-1.062
bar,0.086,322.032,0.822,1050,-1.062
bar,0.107,323.243,0.918,1050,-1.062
bar,0.100,324.421,0.894,1112,-1.062
bar,0.103,325.591,0.893,1112,-1.062
bar,0.098,326.796,0.917,1112,-1.062
bar,0.097,328.002,0.908,1112,-1.062
bar,0.095,329.222,0.917,1112,-1.062
bar,0.096,330.397,0.891,1112,-1.062
bar,0.093,331.581,0.900,1112,-1.062
bar,0.094,332.799,0.923,1112,-1.062
bar,0.090,334.019,0.935,1112,-1.062
bar,0.095,335.214,0.897,1112,-1.062
bar,0.101,336.410,0.912,1048,-1.062
bar,0.100,337.549,0.858,1050,-1.062
bar,0.101,338.691,0.856,1050,-1.062
bar,0.095,339.813,0.850,1052,-1.062
bar,0.091,340.936,0.858,1050,-1.062
bar,0.098,341.948,0.756,1050,-1.062
bar,0.099,343.049,0.832,1050,-1.062
bar,0.098,344.199,0.883,1050,-1.062
bar,0.116,345.413,0.916,1112,-1.062
bar,0.088,346.591,0.918,1112,-1.062
bar,0.103,347.798,0.920,1112,-1.062
bar,0.108,349.037,0.933,1112,-1.062
bar,0.113,350.261,0.920,1112,-1.062
bar,0.089,351.451,0.913,1112,-1.062
bar,0.101,352.672,0.933,1112,-1.062
bar,0.111,353.891,0.925,1112,-1.062
bar,0.085,355.113,0.950,1048,-1.062
bar,0.105,356.211,0.821,1050,-1.062
bar,0.097,357.365,0.872,1050,-1.062
bar,0.081,358.472,0.855,1052,-1.062
bar,0.088,359.547,0.830,1050,-1.062
bar,0.091,360.576,0.765,1050,-1.062
bar,0.112,361.690,0.845,1050,-1.062
bar,0.088,362.876,0.909,1050,-1.062
bar,0.097,364.068,0.902,1112,-1.062
bar,0.093,365.271,0.926,1112,-1.062
bar,0.105,366.453,0.897,1112,-1.062
bar,0.114,367.671,0.928,1112,-1.062
bar,0.108,368.887,0.905,1112,-1.062
bar,0.103,370.072,0.892,1115,-1.062
bar,0.082,371.261,0.932,1127,-1.062
bar,0.104,372.483,0.949,1074,-1.062
bar,0.093,373.721,0.958,1041,-1.066
bar,0.092,374.870,0.882,1037,-1.062
bar,0.099,375.805,0.692,1032,2.244
bar,0.087,377.077,0.987,1033,7.192
bar,0.102,378.349,0.975,1025,-1.062
bar,0.086,379.525,0.909,1062,5.132
bar,0.090,380.469,0.729,1033,3.894
bar,0.093,381.730,0.990,1085,3.403
bar,0.092,382.934,0.932,1030,-1.060
bar,0.078,384.222,1.020,1037,7.852
bar,0.089,385.237,0.769,1034,-1.062
bar,0.091,386.379,0.879,1029,1.142
bar,0.099,387.459,0.829,1073,6.172
bar,0.117,388.709,0.938,1084,-1.062
bar,0.102,389.881,0.892,1031,-1.062
bar,0.104,391.092,0.916,1051,2.738
bar,0.090,392.236,0.889,1027,0.894
bar,0.108,393.336,0.838,1026,-1.063
bar,0.106,394.586,0.966,1065,3.065
bar,0.094,395.793,0.931,1075,3.352
bar,0.112,396.879,0.823,1074,11.316
bar,0.093,398.121,0.963,1055,6.465
bar,0.104,399.401,0.982,1073,5.431
bar,0.085,400.467,0.830,1032,11.322
bar,0.099,401.616,0.893,1048,12.147
bar,0.097,402.700,0.858,1066,8.435
bar,0.099,403.868,0.902,1040,nan
bar,0.104,405.141,0.981,1056,12.147
bar,0.095,406.178,0.792,1071,11.319
bar,0.085,407.388,0.945,1040,11.597
bar,0.104,408.512,0.857,1025,8.858
bar,0.110,409.711,0.915,1064,5.098
bar,0.109,411.007,0.995,1070,5.563
bar,0.113,412.097,0.816,1071,11.319
bar,0.090,413.288,0.922,1070,11.320
bar,0.098,414.536,0.961,1030,7.200
bar,0.096,415.565,0.787,1034,-1.062
bar,0.090,416.604,0.800,1065,3.065
bar,0.096,417.849,0.955,1089,3.065
bar,0.101,419.118,0.976,1048,2.407
bar,0.092,420.346,0.965,1081,1.545
bar,0.101,421.419,0.818,1027,-1.061
bar,0.097,422.540,0.864,1040,5.545
bar,0.091,423.778,0.959,1076,3.330
bar,0.089,425.028,0.980,1027,3.891
bar,0.098,426.175,0.882,1037,-1.062
bar,0.093,427.192,0.774,1034,7.192
bar,0.097,428.474,1.003,1086,3.175
bar,0.088,429.728,0.985,1076,2.245
bar,0.100,430.790,0.800,1039,-1.064
bar,0.090,432.078,1.006,1088,1.839
bar,0.100,433.040,0.723,1045,5.543
bar,0.092,434.329,1.013,1131,8.435
bar,0.099,435.536,0.927,1040,nan
bar,0.101,436.787,0.959,1067,5.129
bar,0.092,438.043,0.977,1065,3.065
bar,0.103,439.181,0.878,1081,4.168
bar,0.112,440.269,0.813,1048,12.147
bar,0.089,441.573,1.026,1089,5.332
bar,0.102,442.740,0.893,1036,1.580
