Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.642,3392.101,6.813,10296,2.643
bar,0.670,3400.672,6.842,10256,1.420
bar,0.640,3409.088,6.738,10275,2.723
bar,0.671,3417.635,6.811,10279,1.490
bar,0.643,3426.058,6.764,10276,3.981
bar,0.700,3434.334,6.581,10249,1.672
bar,0.622,3442.618,6.558,10299,3.909
bar,0.668,3451.101,6.822,10295,2.838
bar,0.673,3459.479,6.693,10245,3.245
bar,0.668,3467.885,6.712,10290,1.789
bar,0.687,3476.103,6.531,10270,3.373
bar,0.658,3484.431,6.691,10264,2.324
bar,0.663,3492.854,6.761,10297,1.529
bar,0.660,3501.147,6.630,10298,2.381
bar,0.633,3509.516,6.737,10253,2.043
bar,0.623,3517.964,6.825,10275,2.328
bar,0.688,3525.978,6.363,10267,1.859
bar,0.672,3534.077,6.440,10281,3.088
bar,0.611,3542.004,6.329,10268,1.904
bar,0.666,3550.071,6.411,10263,2.111
bar,0.654,3558.073,6.415,10251,1.614
bar,0.601,3565.929,6.307,10257,2.125
bar,0.634,3574.057,6.507,10266,1.601
bar,0.674,3582.459,6.730,10264,4.234
bar,0.647,3590.602,6.484,10296,1.941
bar,0.645,3598.665,6.411,10254,1.530
bar,0.646,3606.690,6.439,10266,0.449
bar,0.658,3614.915,6.528,10255,1.952
bar,0.654,3623.062,6.476,10309,1.227
bar,0.631,3631.197,6.505,10246,1.173
bar,0.672,3639.721,6.848,10252,2.785
bar,0.714,3647.873,6.406,10304,3.191
bar,0.664,3656.440,6.904,10281,1.080
bar,0.647,3664.506,6.497,10270,1.989
bar,0.707,3672.938,6.694,10252,2.926
bar,0.662,3681.131,6.539,10340,2.192
bar,0.654,3689.137,6.431,10258,2.431
bar,0.675,3697.323,6.493,10261,3.345
bar,0.679,3705.423,6.405,10264,1.982
bar,0.715,3713.622,6.471,10283,4.023
bar,0.627,3721.981,6.709,10282,2.927
bar,0.659,3730.270,6.600,10267,2.299
bar,0.666,3738.565,6.635,10328,1.814
bar,0.669,3746.813,6.608,10281,3.682
bar,0.683,3754.936,6.448,10273,3.421
bar,0.639,3763.145,6.552,10259,2.705
bar,0.623,3771.190,6.460,10347,1.997
bar,0.667,3779.687,6.856,10272,4.227
bar,0.694,3788.013,6.635,10257,2.488
bar,0.651,3796.085,6.418,10274,2.320
bar,0.655,3804.500,6.636,10254,3.096
bar,0.655,3812.796,6.613,10305,2.535
bar,0.639,3820.737,6.374,10268,2.484
bar,0.659,3829.027,6.626,10258,2.424
bar,0.657,3837.202,6.531,10293,2.536
bar,0.643,3845.347,6.475,10281,1.507
bar,0.686,3853.403,6.373,10242,1.013
bar,0.653,3861.306,6.253,10283,4.220
bar,0.725,3869.599,6.565,10272,1.598
bar,0.679,3877.743,6.470,10270,2.426
bar,0.689,3885.710,6.291,10385,1.524
bar,0.644,3893.858,6.504,10288,1.604
bar,0.658,3901.919,6.440,10258,2.773
bar,0.653,3910.064,6.495,10298,2.765
bar,0.648,3918.250,6.516,10283,2.012
bar,0.686,3926.493,6.545,10255,3.166
bar,0.687,3934.848,6.701,10255,2.472
bar,0.674,3943.114,6.567,10292,3.183
