Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.125,321.990,0.646,1028,-1.064
bar,0.132,322.927,0.694,1068,-1.062
bar,0.135,323.859,0.687,1074,-1.062
bar,0.142,324.801,0.697,1084,-1.062
bar,0.126,325.752,0.709,1060,-0.938
bar,0.131,326.529,0.557,1026,-0.935
bar,0.140,327.469,0.688,1027,-0.236
bar,0.127,328.352,0.658,1064,-1.062
bar,0.145,329.376,0.767,1149,-1.062
bar,0.124,330.343,0.733,1028,-1.062
bar,0.120,331.312,0.739,1028,-1.062
bar,0.130,332.199,0.653,1031,-1.062
bar,0.132,333.056,0.639,1053,1.424
bar,0.148,333.938,0.636,1034,5.128
bar,0.133,335.017,0.820,1061,2.594
bar,0.134,336.259,1.002,1069,2.233
bar,0.146,337.251,0.737,1034,-1.062
bar,0.128,338.097,0.617,1071,11.319
bar,0.129,339.037,0.699,1070,11.320
bar,0.132,339.946,0.680,1037,-1.062
bar,0.125,340.842,0.665,1066,8.435
bar,0.134,341.802,0.710,1075,5.405
bar,0.139,342.664,0.619,1030,-0.900
bar,0.132,343.766,0.842,1040,nan
bar,0.134,344.657,0.659,1040,5.567
bar,0.147,345.589,0.687,1070,11.320
bar,0.125,346.505,0.689,1040,nan
bar,0.139,347.397,0.658,1064,11.320
bar,0.162,348.310,0.648,1070,11.320
bar,0.142,349.576,1.006,1040,nan
bar,0.132,350.534,0.717,1070,11.320
bar,0.141,351.306,0.545,1034,-1.062
bar,0.135,352.267,0.712,1046,5.717
bar,0.134,353.195,0.684,1075,8.637
bar,0.137,354.105,0.672,1034,12.788
bar,0.127,354.959,0.629,1034,5.551
bar,0.131,355.961,0.758,1039,-1.064
bar,0.133,356.906,0.708,1040,nan
bar,0.139,357.869,0.724,1071,11.319
bar,0.137,358.689,0.599,1043,11.596
bar,0.133,359.608,0.690,1035,5.550
bar,0.132,360.756,0.884,1030,8.020
bar,0.141,361.576,0.593,1037,-1.062
bar,0.131,362.765,0.952,1033,0.552
bar,0.139,363.677,0.668,1071,11.319
bar,0.144,364.885,0.944,1130,1.019
bar,0.135,365.863,0.732,1058,1.414
bar,0.135,366.818,0.711,1084,7.444
bar,0.127,367.627,0.595,1061,3.066
bar,0.129,368.608,0.745,1061,-0.908
bar,0.135,369.509,0.660,1035,-1.060
bar,0.133,370.359,0.622,1046,0.204
bar,0.136,371.320,0.719,1065,8.435
bar,0.126,372.190,0.648,1044,2.712
bar,0.137,373.166,0.724,1039,2.240
bar,0.125,374.114,0.706,1064,5.131
bar,0.140,375.023,0.668,1042,12.218
bar,0.137,375.842,0.588,1032,2.244
bar,0.130,376.768,0.703,1037,-1.062
bar,0.122,377.725,0.725,1071,11.319
bar,0.135,378.628,0.661,1072,5.336
bar,0.130,379.503,0.651,1036,1.580
bar,0.130,380.457,0.718,1072,4.056
bar,0.157,381.323,0.615,1102,-1.062
bar,0.130,382.255,0.701,1040,nan
bar,0.136,383.186,0.685,1040,nan
bar,0.143,384.088,0.659,1062,3.429
bar,0.146,385.030,0.692,1067,5.129
bar,0.129,385.871,0.627,1027,3.891
bar,0.149,386.810,0.680,1082,1.732
bar,0.134,387.714,0.680,1048,12.147
bar,0.125,388.621,0.675,1040,nan
bar,0.156,389.603,0.714,1055,-0.430
bar,0.139,390.760,0.905,1065,8.435
bar,0.133,391.695,0.690,1061,2.033
bar,0.128,392.561,0.631,1034,-1.062
bar,0.129,393.478,0.691,1040,nan
bar,0.135,394.389,0.676,1051,-0.526
bar,0.139,395.363,0.726,1054,5.775
bar,0.146,396.181,0.573,1044,5.543
bar,0.124,397.122,0.713,1067,5.129
bar,0.147,398.118,0.736,1040,nan
bar,0.147,399.225,0.839,1038,5.324
bar,0.199,400.401,0.858,1081,2.906
bar,0.215,401.650,0.905,1066,3.333
bar,0.141,402.755,0.841,1035,-1.060
bar,0.150,404.002,0.974,1062,0.323
bar,0.145,405.181,0.913,1045,5.543
bar,0.143,406.234,0.804,1087,-0.654
bar,0.132,407.132,0.659,1071,11.319
bar,0.199,408.269,0.808,1060,3.686
bar,0.144,409.380,0.852,1067,11.323
bar,0.153,410.539,0.859,1070,11.320
bar,0.134,411.463,0.688,1048,5.619
bar,0.152,412.521,0.774,1027,3.891
bar,0.178,413.687,0.845,1067,5.194
bar,0.128,414.544,0.634,1027,5.130
bar,0.133,415.493,0.717,1059,3.314
bar,0.147,416.594,0.825,1082,-0.692
bar,0.190,417.632,0.734,1034,-1.062
bar,0.190,418.654,0.736,1132,11.319
bar,0.183,419.896,0.928,1038,0.257
bar,0.152,421.030,0.863,1040,nan
bar,0.127,422.019,0.743,1080,11.765
bar,0.140,423.885,0.888,1048,12.147
bar,0.131,424.748,0.636,1064,5.269
bar,0.133,425.671,0.687,1039,13.286
bar,0.137,426.610,0.700,1034,12.788
bar,0.133,427.517,0.667,1037,-1.062
bar,0.129,428.408,0.668,1033,11.321
bar,0.125,429.314,0.678,1056,2.667
bar,0.135,430.183,0.636,1033,7.192
bar,0.170,431.158,0.699,1037,11.319
bar,0.199,432.410,0.912,1076,-0.621
bar,0.148,433.349,0.679,1040,nan
bar,0.150,434.383,0.761,1067,11.323
bar,0.154,435.464,0.795,1040,nan
bar,0.138,436.546,0.831,1025,6.108
bar,0.185,437.760,0.901,1084,8.638
bar,0.148,438.963,0.926,1064,3.065
bar,0.152,439.780,0.567,1048,12.147
bar,0.153,446.072,0.844,1057,5.228
bar,0.166,447.115,0.760,1040,nan
bar,0.179,448.217,0.805,1069,5.128
bar,0.157,449.247,0.765,1035,11.320
bar,0.161,450.397,0.859,1046,2.412
bar,0.148,451.631,0.957,1030,7.193
bar,0.204,452.645,0.724,1040,nan
bar,0.165,453.910,0.978,1048,12.147
bar,0.198,455.183,0.909,1066,8.435
bar,0.191,456.660,1.156,1037,11.319
bar,0.276,458.004,0.960,1070,11.320
bar,0.142,459.226,0.964,1067,11.323
bar,0.145,460.418,0.905,1043,8.849
bar,0.141,461.476,0.801,1070,11.320
bar,0.153,462.551,0.798,1071,11.319
bar,0.182,463.643,0.791,1040,nan
bar,0.139,464.716,0.816,1083,10.291
bar,0.136,465.736,0.799,1067,11.323
bar,0.182,466.793,0.787,1071,11.319
bar,0.177,467.913,0.828,1040,nan
bar,0.138,468.880,0.724,1048,12.147
bar,0.124,469.777,0.675,1048,12.147
bar,0.140,470.678,0.663,1036,11.320
bar,0.140,471.631,0.715,1048,12.147
bar,0.170,472.760,0.834,1054,11.484
bar,0.145,473.813,0.788,1037,-1.062
bar,0.152,474.917,0.866,1040,nan
bar,0.139,475.902,0.755,1077,11.734
bar,0.162,477.058,0.864,1088,5.859
bar,0.130,478.074,0.777,1067,9.272
bar,0.126,478.968,0.673,1067,11.323
bar,0.142,479.989,0.754,1040,nan
bar,0.150,481.131,0.868,1048,12.147
bar,0.188,482.324,0.875,1070,11.320
bar,0.145,483.407,0.816,1079,11.733
bar,0.137,484.294,0.652,1059,6.396
bar,0.138,485.416,0.868,1056,12.147
bar,0.141,486.495,0.820,1045,12.150
bar,0.125,487.490,0.758,1067,-7.711
bar,0.127,488.464,0.735,1040,nan
bar,0.141,489.320,0.625,1079,11.733
bar,0.144,490.384,0.804,1071,11.319
bar,0.177,491.550,0.866,1043,8.849
bar,0.144,492.524,0.728,1071,9.318
bar,0.166,493.620,0.820,1048,12.147
bar,0.143,494.706,0.816,1068,7.401
bar,0.169,495.809,0.812,1042,5.126
bar,0.150,496.804,0.730,1065,3.065
bar,0.153,497.848,0.781,1059,6.396
bar,0.177,499.029,0.877,1037,5.266
bar,0.172,500.147,0.821,1031,-1.062
bar,0.144,501.134,0.758,1083,11.307
bar,0.149,502.237,0.830,1040,nan
bar,0.163,503.318,0.794,1034,11.867
bar,0.148,504.516,0.914,1050,0.707
bar,0.220,505.792,0.930,1055,2.382
