Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.152,327.970,0.858,1066,8.435
bar,0.171,329.053,0.794,1048,12.147
bar,0.161,330.155,0.813,1071,11.319
bar,0.169,331.118,0.701,1033,11.321
bar,0.184,332.360,0.935,1073,9.672
bar,0.164,333.405,0.776,1036,11.320
bar,0.168,334.741,1.038,1040,nan
bar,0.148,335.741,0.740,1037,11.319
bar,0.152,336.681,0.688,1040,nan
bar,0.160,337.695,0.736,1067,11.323
bar,0.170,338.779,0.794,1059,6.396
bar,0.150,339.827,0.766,1079,11.733
bar,0.153,340.926,0.821,1070,12.457
bar,0.145,341.849,0.684,1025,6.766
bar,0.159,342.862,0.741,1132,11.323
bar,0.159,344.000,0.843,1040,nan
bar,0.151,345.053,0.784,1040,nan
bar,0.152,346.096,0.777,1067,11.319
bar,0.152,347.025,0.676,1033,9.954
bar,0.176,348.173,0.835,1136,11.319
bar,0.168,349.291,0.823,1132,11.323
bar,0.144,350.381,0.839,1048,12.147
bar,0.142,351.237,0.636,1035,5.550
bar,0.153,352.210,0.714,1067,11.319
bar,0.152,353.289,0.805,1070,11.320
bar,0.146,354.320,0.763,1079,11.733
bar,0.153,355.296,0.714,1058,3.671
bar,0.148,356.342,0.788,1040,nan
bar,0.157,357.381,0.762,1079,11.733
bar,0.149,358.510,0.848,1071,11.319
bar,0.151,359.477,0.710,1066,8.435
bar,0.145,360.481,0.744,1040,nan
bar,0.148,361.498,0.749,1047,11.686
bar,0.158,362.462,0.702,1040,nan
bar,0.162,363.460,0.732,1066,8.435
bar,0.169,364.586,0.831,1079,11.733
bar,0.167,365.583,0.721,1040,nan
bar,0.152,366.548,0.710,1035,5.550
bar,0.143,367.626,0.818,1080,11.743
bar,0.167,368.638,0.726,1045,12.150
bar,0.150,369.629,0.730,1036,11.320
bar,0.183,370.707,0.776,1070,11.320
bar,0.172,371.671,0.692,1040,nan
bar,0.150,372.779,0.829,1039,6.351
bar,0.161,373.675,0.638,1068,11.319
bar,0.159,374.776,0.816,1140,11.735
bar,0.174,375.923,0.839,1136,11.319
bar,0.166,377.004,0.817,1077,12.118
bar,0.146,378.019,0.748,1067,9.272
bar,0.153,378.989,0.716,1071,11.319
bar,0.141,380.072,0.814,1064,11.320
bar,0.174,380.949,0.606,1040,nan
bar,0.162,382.048,0.809,1073,9.672
bar,0.147,383.139,0.801,1071,11.319
bar,0.146,384.163,0.764,1070,11.320
bar,0.155,385.194,0.763,1071,11.319
bar,0.164,386.212,0.742,1048,9.681
bar,0.147,387.255,0.772,1033,12.097
bar,0.153,388.261,0.747,1036,11.320
bar,0.145,389.205,0.695,1035,5.550
bar,0.181,390.228,0.735,1070,11.320
bar,0.177,391.405,0.860,1040,nan
