Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.139,330.821,0.855,1051,-1.076
bar,0.191,332.151,0.960,1124,6.396
bar,0.162,333.399,0.898,1040,nan
bar,0.188,334.760,0.972,1103,8.841
bar,0.164,336.002,0.896,1035,-1.060
bar,0.186,337.076,0.738,1105,nan
bar,0.160,338.422,0.977,1152,5.551
bar,0.186,339.896,1.100,1088,8.501
bar,0.172,341.360,1.070,1056,-0.236
bar,0.190,342.847,1.085,1062,11.321
bar,0.164,344.195,0.972,1072,9.334
bar,0.184,345.625,1.045,1027,-0.312
bar,0.169,346.859,0.887,1040,nan
bar,0.179,348.289,1.028,1040,nan
bar,0.207,349.636,0.941,1077,8.357
bar,0.206,351.066,1.004,1037,-1.062
bar,0.190,352.439,0.979,1040,nan
bar,0.211,353.868,1.020,1104,8.552
bar,0.209,355.230,0.964,1040,5.545
bar,0.183,356.544,0.925,1040,nan
bar,0.215,357.984,1.016,1059,5.503
bar,0.164,359.358,0.995,1036,6.820
bar,0.188,360.696,0.942,1040,nan
bar,0.150,361.957,0.921,1031,3.709
bar,0.179,363.397,1.037,1030,7.200
bar,0.184,364.733,0.948,1037,-1.062
bar,0.182,366.111,0.998,1036,11.320
bar,0.174,367.444,0.957,1067,11.323
bar,0.178,368.718,0.909,1048,12.147
bar,0.204,370.193,1.047,1059,6.396
bar,0.188,371.627,1.025,1081,7.466
bar,0.172,372.998,0.977,1026,3.056
bar,0.166,374.234,0.889,1050,12.885
bar,0.196,375.663,1.022,1078,10.292
bar,0.195,377.075,1.016,1038,-1.063
bar,0.197,378.598,1.107,1074,-1.099
bar,0.190,379.870,0.896,1044,7.725
bar,0.189,381.394,1.105,1040,nan
bar,0.186,382.697,0.930,1083,11.742
bar,0.185,384.198,1.113,1071,11.319
bar,0.186,385.646,1.041,1078,2.623
bar,0.169,386.876,0.885,1071,11.319
bar,0.195,388.386,1.066,1070,11.320
bar,0.189,389.726,0.980,1042,8.849
bar,0.161,391.112,0.999,1030,7.193
bar,0.192,392.469,0.958,1073,12.187
bar,0.166,393.795,0.961,1045,5.543
bar,0.176,395.125,0.949,1044,11.595
bar,0.190,396.590,1.054,1040,nan
bar,0.186,397.963,0.980,1025,8.858
bar,0.178,399.365,1.016,1065,3.065
bar,0.176,400.532,0.836,1075,11.735
bar,0.171,401.920,1.003,1040,nan
bar,0.172,403.353,1.035,1045,11.595
bar,0.187,404.697,0.950,1037,-1.062
bar,0.179,405.926,0.866,1033,9.954
bar,0.166,407.273,0.981,1037,-1.062
bar,0.174,408.700,1.053,1038,11.597
bar,0.194,409.882,0.817,1040,nan
bar,0.184,411.279,1.001,1037,11.319
bar,0.216,412.766,1.110,1071,11.319
bar,0.198,413.919,0.794,1055,9.678
bar,0.190,415.401,1.079,1040,nan
bar,0.180,416.951,1.130,1032,11.322
bar,0.179,418.350,1.023,1058,5.786
bar,0.178,419.494,0.796,1079,3.060
bar,0.187,420.980,1.071,1079,11.733
bar,0.173,422.414,1.037,1040,nan
bar,0.201,423.853,1.032,1040,nan
bar,0.190,425.341,1.082,1067,6.990
bar,0.215,426.596,0.857,1079,11.733
bar,0.185,428.085,1.086,1076,7.468
bar,0.205,429.505,1.025,1063,2.033
bar,0.185,430.920,1.029,1043,8.849
bar,0.168,432.255,0.955,1044,-0.264
bar,0.188,433.746,1.068,1059,3.067
bar,0.193,434.998,0.880,1032,5.267
bar,0.171,436.341,0.968,1056,1.311
bar,0.186,437.768,1.030,1087,2.475
bar,0.193,439.183,0.994,1081,-1.062
bar,0.167,440.589,1.024,1091,-1.063
bar,0.165,442.083,1.087,1050,0.486
